Row,Pos,QWERTY,한글자모(key0),NW(key1),NE(key2),SW(key3),SE(key4),Width,Shift
1,1,1,1,loc esc,!,`,,,1,
1,2,2,2,,@,~,,,1,
1,3,3,3,,#,,,,1,
1,4,4,4,,$,,,,1,
1,5,5,5,,%,,,,1,
1,6,6,6,,^,,,,1,
1,7,7,7,,&,,,,1,
1,8,8,8,,*,,,,1,
1,9,9,9,-,_=,,,1,
1,10,0,0,+,,,,,1,
2,1,q,ㅂ,,,,,,1,
2,2,w,ㅈ,,,,,,1,
2,3,e,ㄷ,,,,,,1,
2,4,r,ㄱ,,,,,,1,
2,5,t,ㅅ, ,,,,,1,
2,6,y,ㅛ, ,redo,<,>,,1,
2,7,u,ㅕ, ,,(,),,1,
2,8,i,ㅑ, ,,{,},,1,
2,9,o,ㅐ, ,,[,],,1,
2,10,p,ㅔ,\\,,|,,,1,
3,1,a,ㅁ,loc tab,selectAll,menu,,,1,0.5
3,2,s,ㄴ, , ,,,,1,
3,3,d,ㅇ, , , ,,,1,
3,4,f,ㄹ, , , ,,,1,
3,5,g,ㅎ, , , ,,,1,
3,6,h,ㅗ, , ,,,,1,
3,7,j,ㅓ, , ,,,,1,
3,8,k,ㅏ,, ,;,:
3,9,l,ㅣ,, ,','"'"'"''",,,1,
4,1,Shift,Shift, ,loc capslock,,,,1.5,
4,2,z,ㅋ, ,undo,, ,,1,
4,3,x,ㅌ, ,cut,, ,,1,
4,4,c,ㅊ, ,copy,,,,1,
4,5,v,ㅍ, ,paste,,,,1,
4,6,b,ㅠ, ,pasteAsPlainText,,,,1,
4,7,n,ㅜ,",",.,,,1,
4,8,m,ㅡ,/,?,,,,1,
4,9,Backspace,Backspace,delete, ,,,,1.5,
